No,Name,Dex. No.,Type,HP,Atk,Def,Sp. Atk,Sp. Def,Spd,Total,Abilities,Banned,Viable,Mythical,Restricted,SWSH Dex,Forms,Tiering
1,Bulbasaur,1,Grass Poison,45,49,49,65,65,45,318,Overgrow  Chlorophyll,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
2,Ivysaur,2,Grass Poison,60,62,63,80,80,60,405,Overgrow  Chlorophyll,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
3,Venusaur-Mega,3,Grass Poison,80,100,123,122,120,80,625,Thick Fat,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12 points
4,Venusaur,3,Grass Poison,80,82,83,100,100,80,525,Overgrow  Chlorophyll,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
5,Charmander,4,Fire,39,52,43,60,50,65,309,Blaze  Solar Power,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
6,Charmeleon,5,Fire,58,64,58,80,65,80,405,Blaze  Solar Power,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
7,Charizard-Mega Y,6,Fire Flying,78,104,78,159,115,100,634,Drought,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
8,Charizard-Mega X,6,Fire Dragon,78,130,111,130,85,100,634,Tough Claws,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
9,Charizard,6,Fire Flying,78,84,78,109,85,100,534,Blaze  Solar Power,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
10,Squirtle,7,Water,44,48,65,50,64,43,314,Torrent  Rain Dish,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
11,Wartortle,8,Water,59,63,80,65,80,58,405,Torrent  Rain Dish,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
12,Blastoise-Mega,9,Water,79,103,120,135,115,78,630,Mega Launcher,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
13,Blastoise,9,Water,79,83,100,85,105,78,530,Torrent  Rain Dish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
14,Caterpie,10,Bug,45,30,35,20,20,45,195,Shield Dust  Run Away,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
15,Metapod,11,Bug,50,20,55,25,25,30,205,Shed Skin,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
16,Butterfree,12,Bug Flying,60,45,50,90,80,70,395,Compound Eyes  Tinted Lens,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
17,Weedle,13,Bug Poison,40,35,30,20,20,50,195,Shield Dust  Run Away,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
18,Kakuna,14,Bug Poison,45,25,50,25,25,35,205,Shed Skin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
19,Beedrill-Mega,15,Bug Poison,65,150,40,15,80,145,495,Adaptability,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,11 points
20,Beedrill,15,Bug Poison,65,90,40,45,80,75,395,Swarm  Sniper,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
21,Pidgey,16,Normal Flying,40,45,40,35,35,56,251,Keen Eye Tangled Feet Big Pecks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
22,Pidgeotto,17,Normal Flying,63,60,55,50,50,71,349,Keen Eye Tangled Feet Big Pecks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
23,Pidgeot-Mega,18,Normal Flying,83,80,80,135,80,121,579,No Guard,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,11 points
24,Pidgeot,18,Normal Flying,83,80,75,70,70,101,479,Keen Eye Tangled Feet Big Pecks,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
25,Rattata,19,Normal,30,56,35,25,35,72,253,Run Away Guts Hustle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
26,Rattata-Alola,19,Normal Dark,30,56,35,25,35,72,253,Gluttony Hustle Thick Fat,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
27,Raticate,20,Normal,55,81,60,50,70,97,413,Run Away Guts Hustle,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
28,Raticate-Alola,20,Normal Dark,75,71,70,40,80,77,413,Gluttony Hustle Thick Fat,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1 point
29,Spearow,21,Normal Flying,40,60,30,31,31,70,262,Keen Eye  Sniper,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
30,Fearow,22,Normal Flying,65,90,65,61,61,100,442,Keen Eye  Sniper,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
31,Ekans,23,Poison,35,60,44,40,54,55,288,Intimidate Shed Skin Unnerve,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
32,Arbok,24,Poison,60,95,69,65,79,80,448,Intimidate Shed Skin Unnerve,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
33,Pikachu,25,Electric,35,55,40,50,50,90,320,Static  Lightning Rod,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
34,Raichu-Alola,26,Electric Psychic,60,85,50,95,85,110,485,Surge Surfer,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,5 points
35,Raichu,26,Electric,60,90,55,90,80,110,485,Static  Lightning Rod,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
36,Sandshrew-Alola,27,Ice Steel,50,75,90,10,35,40,300,Snow Cloak  Slush Rush,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
37,Sandshrew,27,Ground,50,75,85,20,30,40,300,Sand Veil  Sand Rush,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
38,Sandslash,28,Ground,75,100,110,45,55,65,450,Sand Veil  Sand Rush,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
39,Sandslash-Alola,28,Ice Steel,75,100,120,25,65,65,450,Snow Cloak  Slush Rush,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3 points
40,Nidoran F,29,Poison,55,47,52,40,40,41,275,Poison Point Rivalry Hustle,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
41,Nidorina,30,Poison,70,62,67,55,55,56,365,Poison Point Rivalry Hustle,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
42,Nidoqueen,31,Poison Ground,90,92,87,75,85,76,505,Poison Point Rivalry Sheer Force,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13 points
43,Nidoran M,32,Poison,46,57,40,40,40,50,273,Poison Point Rivalry Hustle,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
44,Nidorino,33,Poison,61,72,57,55,55,65,365,Poison Point Rivalry Hustle,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
45,Nidoking,34,Poison Ground,81,102,77,85,75,85,505,Poison Point Rivalry Sheer Force,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13 points
46,Clefairy,35,Fairy,70,45,48,60,65,35,323,Cute Charm Magic Guard Friend Guard,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
47,Clefable,36,Fairy,95,70,73,95,90,60,483,Cute Charm Magic Guard Friend Guard,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,15 points
48,Vulpix,37,Fire,38,41,40,50,65,65,299,Flash Fire  Drought,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
49,Vulpix-Alola,37,Ice,38,41,40,50,65,65,299,Snow Cloak  Snow Warning,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
50,Ninetales-Alola,38,Ice Fairy,73,67,75,81,100,109,505,Snow Cloak  Snow Warning,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,9 points
51,Ninetales,38,Fire,73,76,75,81,100,100,505,Flash Fire  Drought,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6 points
52,Jigglypuff,39,Normal Fairy,115,45,20,45,25,20,270,Cute Charm Competitive Friend Guard,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
53,Wigglytuff,40,Normal Fairy,140,70,45,85,50,45,435,Cute Charm Competitive Frisk,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
54,Zubat,41,Poison Flying,40,45,35,30,40,55,245,Inner Focus  Infiltrator,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
55,Golbat,42,Poison Flying,75,80,70,65,75,90,455,Inner Focus  Infiltrator,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4 points
56,Oddish,43,Grass Poison,45,50,55,75,65,30,320,Chlorophyll  Run Away,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
57,Gloom,44,Grass Poison,60,65,70,85,75,40,395,Chlorophyll  Stench,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
58,Vileplume,45,Grass Poison,75,80,85,100,90,50,480,Chlorophyll  Effect Spore,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
59,Paras,46,Bug Grass,35,70,55,45,55,25,285,Effect Spore Dry Skin Damp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
60,Parasect,47,Bug Grass,60,95,80,60,80,30,405,Effect Spore Dry Skin Damp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
61,Venonat,48,Bug Poison,60,55,50,40,55,45,305,Compound Eyes Tinted Lens Run Away,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
62,Venomoth,49,Bug Poison,70,65,60,90,75,90,450,Shield Dust Tinted Lens Wonder Skin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 points
63,Diglett,50,Ground,10,55,25,35,45,95,265,Sand Veil Arena Trap Sand Force,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
64,Diglett-Alola,50,Ground Steel,10,55,30,35,45,90,265,Sand Veil Tangling Hair Sand Force,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
65,Dugtrio-Alola,51,Ground Steel,35,100,50,50,70,120,425,Sand Veil Tangling Hair Sand Force,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2 points
66,Dugtrio,51,Ground,35,80,50,50,70,120,405,Sand Veil Arena Trap Sand Force,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
67,Meowth-Alola,52,Dark,40,35,35,50,40,90,290,Pickup Technician Rattled,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
68,Meowth,52,Normal,40,45,35,40,40,90,290,Pickup Technician Unnerve,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
69,Meowth-Galar,52,Steel,50,65,55,40,40,40,290,Pickup Tough Claws Unnerve,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
70,Persian-Alola,53,Dark,65,60,60,75,65,115,440,Pickup Technician Rattled,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,5 points
71,Persian,53,Normal,65,70,60,65,65,115,440,Pickup Technician Unnerve,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
72,Psyduck,54,Water,50,52,48,65,50,55,320,Damp Cloud Nine Swift Swim,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
